Start  Time: 2024/07/04, 13:30:34.740
Export Time: 2024/07/04, 13:30:39.127
Min  (dBA):   67.9
Max  (dBA):   74.0
Peak (dBA):   77.4
Avg  (dBA):   70.4
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
68.6,0.2
69.7,0.2
70.0,0.2
70.2,0.2
68.9,0.2
69.8,0.2
69.1,0.2
69.6,0.2
70.1,0.2
70.1,0.2
69.7,0.2
69.7,0.2
70.5,0.2
72.4,0.2
70.8,0.2
69.9,0.2
70.8,0.2
70.6,0.2
69.9,0.2
70.7,0.2
69.4,0.2
70.2,0.2
70.2,0.2
69.6,0.2
69.0,0.2
69.6,0.2
70.4,0.2
68.8,0.2
69.2,0.2
68.4,0.2
69.0,0.2
70.3,0.2
70.7,0.2
70.1,0.2
70.4,0.2
70.4,0.2
70.1,0.2
70.7,0.2
71.9,0.2
71.7,0.2
69.6,0.2
70.5,0.2
70.1,0.2
70.6,0.2
70.0,0.2
71.6,0.2
72.1,0.2
72.4,0.2
71.7,0.2
72.8,0.2
74.0,0.2
71.1,0.2
72.2,0.2
72.7,0.2
71.5,0.2
70.8,0.2
69.7,0.2
70.1,0.2
70.3,0.2
70.5,0.2
70.1,0.2
70.6,0.2
69.7,0.2
70.0,0.2
70.4,0.2
70.2,0.2
70.4,0.2
70.5,0.2
69.5,0.2
71.3,0.2
70.9,0.2
71.0,0.2
69.2,0.2
69.9,0.2
69.5,0.2
70.0,0.2
69.7,0.2
70.0,0.2
69.5,0.2
69.2,0.2
69.2,0.2
69.8,0.2
68.0,0.2
68.3,0.2
67.9,0.2
69.3,0.2
68.8,0.2
73.5,0.2
70.9,0.2
68.9,0.2
68.6,0.2
67.9,0.2
70.5,0.2
70.4,0.2
69.0,0.2
72.6,0.2
71.0,0.2
70.3,0.2
69.1,0.2
68.5,0.2
71.7,0.2
70.7,0.2
70.9,0.2
70.1,0.2
69.4,0.2
69.9,0.2
70.3,0.2
68.6,0.2
69.0,0.2
69.0,0.2
71.4,0.2
72.9,0.2
71.0,0.2
70.5,0.2
70.6,0.2
70.4,0.2
70.6,0.2
70.3,0.2
70.8,0.2
70.9,0.2
69.7,0.2
71.2,0.2
71.0,0.2
71.7,0.2
71.1,0.2
71.3,0.2
70.0,0.2
72.5,0.2
69.6,0.2
70.8,0.2
70.4,0.2
69.9,0.2
69.5,0.2
69.0,0.2
68.6,0.2
69.4,0.2
69.0,0.2
69.6,0.2
69.4,0.2
70.7,0.2
71.1,0.2
69.4,0.2
